ONS LA Code,Region/Local Authority,Cars,Motorcycles,Light Goods Vehicles,Heavy Goods Vehicles,Buses and coaches,Other vehicles 2,Total,Diesel Cars,Diesel Vans
K02000001,United Kingdom,"32,884.30","1,273.40","4,246.30",525.8,157.5,803.2,"39,890.50","12,852.30","4,094.70"
K03000001,Great Britain,"31,888.40","1,250.20","4,123.30",501.5,152,767.4,"38,682.70","12,286.30","3,972.90"
E92000001,England,"27,146.10","1,104.40","3,522.00",435,127.2,606.9,"32,941.70","10,284.00","3,387.40"
E12000001,North East,"1,153.20",39.5,164.6,15.2,5.9,22.4,"1,400.70",480,161.4
E06000047,   County Durham UA,243.2,9.2,27,4.9,0.9,6.8,292.1,108.9,26.3
E06000005,   Darlington UA,51.3,2.1,55.3,0.8,0.3,0.9,110.6,22.4,55.1
E06000001,   Hartlepool UA,40.2,1.4,3.5,0.5,0.1,0.5,46.1,17.5,3.4
E06000002,   Middlesbrough UA,55.7,1.4,4.2,0.5,0.2,0.4,62.3,23,4.1
E06000057,   Northumberland UA,163.9,6.3,18.9,2.1,0.7,7.3,199.2,70.7,18.4
E06000003,   Redcar and Cleveland UA,65.6,2.6,6.5,0.8,0.2,1,76.8,26.7,6.3
E06000004,   Stockton-on-Tees UA,92.6,3,8,1,0.3,1.1,106,37.8,7.7
E11000007,   Tyne and Wear (Met County),440.6,13.4,41.2,4.5,3.1,4.4,507.2,173.1,40.1
E08000037,      Gateshead,78.8,2.5,8.4,1.1,1,0.7,92.5,31,8.1
E08000021,      Newcastle upon Tyne,95.6,2.3,8.3,1,0.4,1.7,109.2,38.6,8.1
E08000022,      North Tyneside,91.3,2.9,9.6,1.1,0.3,0.7,105.9,34.4,9.4
E08000023,      South Tyneside,60.6,2.2,5.1,0.4,0.1,0.4,68.8,23.5,5
E08000024,      Sunderland,114.3,3.6,9.8,0.9,1.3,0.9,130.9,45.5,9.6
,   Local Authority unknown 3,0.2,0.1,0.1,-,-,0.1,0.5,-,-
E12000002,North West,"3,318.70",117.9,362.4,66,15.2,65.5,"3,945.80","1,274.00",351.8
E06000008,   Blackburn with Darwen UA,60.5,1.8,6.1,0.8,0.2,0.7,70.2,26.5,5.9
E06000009,   Blackpool UA,57.4,2.4,5.9,0.3,0.3,0.7,67.1,19.4,5.7
E06000049,   Cheshire East UA,220.6,8.7,22.8,3.3,0.4,6.1,262,82.7,21.8
E06000050,   Cheshire West and Chester UA,190.7,8.1,20.5,2.9,0.5,4.6,227.3,74.8,19.9
E06000006,   Halton UA,62.9,2.3,6.9,1.6,0.3,0.6,74.6,25.1,6.8
E06000007,   Warrington UA,110.7,4.3,11.4,4.2,0.4,1.8,132.8,41.9,11.1
E10000006,   Cumbria,259.1,12.7,40.5,5.7,1.4,17.1,336.5,117.8,39.3
E07000026,      Allerdale,51.5,2.1,7.5,0.8,0.3,3.6,65.9,24,7.3
E07000027,      Barrow-in-Furness,30.1,2.1,3.2,0.3,0.1,0.5,36.2,11.7,3.1
E07000028,      Carlisle,53.4,2.2,8.4,1.9,0.6,3,69.4,24.9,8.2
E07000029,      Copeland,34.9,1.8,4,0.3,0.1,1.8,43,15.1,3.9
E07000030,      Eden,30.9,1.2,6.7,1.6,0.1,4.4,44.8,16.5,6.4
E07000031,      South Lakeland,58.2,3.2,10.7,0.9,0.2,3.8,77.1,25.5,10.3
,      Local Authority District unknown 3,-,-,-,-,0,-,0.1,-,-
E11000001,   Greater Manchester (Met County),"1,187.80",33.9,116.8,28.2,5.4,10.6,"1,382.70",432.5,113.9
E08000001,      Bolton,125,4,13.5,2.4,0.6,1.1,146.6,46.8,13.2
