ONS LA Code,Region/Local Authority,Cars,Motorcycles,Light Goods Vehicles,Heavy Goods Vehicles,Buses and coaches,Other vehicles 2,Total,Diesel Cars,Diesel Vans
S12000023,   Orkney Islands,11.1,0.6,2.9,0.2,0.1,2.2,17.1,5,2.8
S12000048,   Perth and Kinross,77.1,2.6,10.8,1.4,0.3,5.9,98.2,35.9,10.5
S12000038,   Renfrewshire,117.8,2,16.2,1.4,0.5,1.1,139.1,51.3,16
S12000026,   Scottish Borders,60,2,9.6,1.6,0.2,4.8,78.3,28.2,9.3
S12000027,   Shetland Islands,11.6,0.6,3.2,0.3,0.1,0.9,16.8,5.4,3.1
S12000028,   South Ayrshire,55.8,1.7,5.6,0.4,0.5,1.9,66,22.6,5.5
S12000029,   South Lanarkshire,151.8,3.4,14.6,2.6,0.7,3,176,64.4,14.3
S12000030,   Stirling,58.3,1.2,8.3,0.7,0.2,1.3,69.9,29.1,8.1
S12000039,   West Dunbartonshire,38.6,0.9,4,0.3,0.2,0.4,44.3,15.2,3.9
S12000040,   West Lothian,87.9,2.6,10,2.2,0.5,1.7,104.9,34.8,9.8
,   Local Authority unknown 3,0.5,0.1,0.2,-,-,0.2,1,0.1,0.1
N92000002,Northern Ireland,961.8,22.3,116.7,24.2,5.5,34.8,"1,165.30",546.2,115.4
N09000001,   Antrim and Newtownabbey,79.8,2,10.9,2.5,0.3,1.8,97.2,39.5,10.8
N09000011,   Ards and North Down,88.9,2.9,6.5,0.9,0.2,1.5,100.9,34.8,6.4
N09000002,"   Armagh City, Banbridge and Craigavon",113.2,2.9,13.2,4,0.5,4,137.8,68.5,13.1
N09000003,   Belfast,137.1,2.8,10.3,1.6,2.1,0.9,154.8,58.7,10.2
N09000004,   Causeway Coast and Glens,74.4,2,10,1.7,0.3,4.4,92.9,47.7,10
N09000005,   Derry City and Strabane,71.7,1.1,9.6,1.6,0.3,2.3,86.6,48.2,9.5
N09000006,   Fermanagh and Omagh,63.8,1.4,11.5,2.3,0.5,5.1,84.6,48,11.4
N09000007,   Lisburn and Castlereagh,80.2,2.1,7.3,1.8,0.3,2.2,93.9,36.1,7.2
N09000008,   Mid and East Antrim,76.7,2.5,8.4,1.6,0.3,3.5,93,41.1,8.2
N09000009,   Mid Ulster,78,1.1,15,3,0.3,5.1,102.6,58.7,14.9
N09000010,"   Newry, Mourne and Down",95.3,1.4,13,2.9,0.4,3.7,116.6,63.1,12.9
,   Local Authority unknown 3,2.7,-,0.9,0.1,-,0.4,4.3,1.8,0.9
,Vehicle under disposal,644.8,13.2,70.6,8.2,1.6,16.5,754.8,291,69.3
,Region/Country unknown 3,1.8,0.8,0.8,0.1,0.1,0.7,4.2,0.5,0.6
